timestamp,forecast,model_name,lower_bound,upper_bound
2018-02-01,107.85699391625919,sarimax,95.1016911123306,120.61229672018777
2018-03-01,105.63601492379541,sarimax,92.88071211986683,118.391317727724
2018-04-01,91.76351366783851,sarimax,79.00821086390992,104.5188164717671
2018-05-01,94.27885174623356,sarimax,81.52354894230497,107.03415455016214
2018-06-01,103.25234189958687,sarimax,90.49703909565828,116.00764470351545
2018-07-01,112.40685040184802,sarimax,99.65154759791943,125.1621532057766
2018-08-01,109.22907066235565,sarimax,96.47376785842707,121.98437346628424
2018-09-01,99.43393880443853,sarimax,86.67863600050994,112.18924160836711
2018-10-01,94.68207388534638,sarimax,81.9267710814178,107.43737668927497
2018-11-01,98.17012295496767,sarimax,85.41482015103908,110.92542575889625
2018-12-01,114.54415248650453,sarimax,101.78884968257594,127.29945529043312
2019-01-01,128.37698316570916,sarimax,115.62168036178058,141.13228596963776
2019-02-01,108.06696573470418,sarimax,95.3116629307756,120.82226853863277
2019-03-01,105.97239931377435,sarimax,93.21709650984576,118.72770211770293
2019-04-01,92.89783166674945,sarimax,80.14252886282087,105.65313447067804
2019-05-01,95.26795723775008,sarimax,82.5126544338215,108.02326004167867
2019-06-01,103.72460401032092,sarimax,90.96930120639233,116.4799068142495
2019-07-01,112.35194579878248,sarimax,99.5966429948539,125.10724860271107
2019-08-01,109.35706714231087,sarimax,96.60176433838228,122.11236994623945
2019-09-01,100.12584907193533,sarimax,87.37054626800675,112.88115187586392
2019-10-01,95.64755189207602,sarimax,82.89224908814744,108.40285469600461
2019-11-01,98.93477292367581,sarimax,86.17947011974722,111.6900757276044
2019-12-01,114.36608354873279,sarimax,101.6107807448042,127.12138635266137
2020-01-01,127.40250371305994,sarimax,114.64720090913136,140.15780651698853
2020-02-01,108.26180969984787,sarimax,95.50650689591929,121.01711250377646
2020-03-01,106.28783481337219,sarimax,93.5325320094436,119.04313761730077
2020-04-01,93.96601918011602,sarimax,81.21071637618743,106.72132198404461
2020-05-01,96.19968750056519,sarimax,83.4443846966366,108.95499030449378
2020-06-01,104.16945304962775,sarimax,91.41415024569916,116.92475585355633
2020-07-01,112.30008609589134,sarimax,99.54478329196276,125.05538889981993
